iter	Passed	Remaining
0	105	1375613
1	212	1378924
2	262	1135372
3	314	1022924
4	363	944852
5	417	903591
6	467	868482
7	520	844848
8	569	821534
9	622	808262
10	682	806245
11	732	793093
12	782	781606
13	834	774331
14	888	768750
15	949	770546
16	1013	774139
17	1066	769345
18	1138	777923
19	1209	785174
20	1269	784318
21	1315	776313
22	1363	769554
23	1412	763553
24	1461	758720
25	1510	753761
26	1554	747107
27	1599	741118
28	1651	738650
29	1708	738792
30	1761	736756
31	1812	734492
32	1862	731743
33	1909	728274
34	1959	725937
35	2007	722922
36	2056	720591
37	2116	721954
38	2184	726055
39	2240	725990
40	2288	723436
41	2345	723746
42	2400	723305
43	2450	721687
44	2500	719767
45	2548	717711
46	2592	714488
47	2639	712177
48	2697	713037
49	2758	714334
50	2991	759609
51	3055	760849
52	3105	758538
53	3164	758631
54	3208	755089
55	3253	751913
56	3300	749432
57	3345	746500
58	3400	745936
59	3449	744042
60	3502	743009
61	3555	741975
62	3604	740191
63	3656	739038
64	3713	738982
65	3775	739875
66	3827	738819
67	3884	738803
68	3935	737549
69	3993	737576
70	4052	737999
71	4097	735730
72	4139	732982
73	4187	731531
74	4228	728697
75	4275	727009
76	4317	724662
77	4360	722415
78	4407	720866
79	4452	719007
80	4505	718593
81	4567	719477
82	4625	719869
83	4674	718757
84	4724	717823
85	4785	718561
86	4834	717515
87	4881	716180
88	4932	715558
89	4986	715263
90	5062	718167
91	5132	720164
92	5197	721321
93	5254	721390
94	5322	723058
95	5369	721710
96	5413	720132
97	5462	719153
98	5509	717973
99	5560	717352
100	5601	715414
101	5643	713573
102	5689	712432
103	5740	711882
104	5798	712052
105	5851	711741
106	5897	710616
107	5944	709619
108	5992	708673
109	6047	708651
110	6098	708125
111	6155	708379
112	6206	707806
113	6256	707174
114	6312	707224
115	6354	705816
116	6399	704606
117	6447	703894
118	6505	704192
119	6557	703814
120	6599	702458
121	6643	701243
122	6687	700096
123	6734	699281
124	6781	698482
125	6835	698433
126	6877	697070
127	6918	695742
128	6962	694657
129	7002	693254
130	7043	691922
131	7087	690926
132	7148	691556
133	7200	691324
134	7247	690680
135	7298	690376
136	7358	690863
137	7409	690629
138	7460	690279
139	7517	690569
140	7560	689472
141	7608	688927
142	7651	687897
143	7693	686814
144	7732	685537
145	7786	685544
146	7832	684795
147	7878	684181
148	7920	683100
149	7963	682169
150	8003	681074
151	8044	679986
152	8087	679066
153	8135	678665
154	8195	679204
155	8247	679074
156	8303	679207
157	8367	680065
158	8424	680363
159	8471	679810
160	8514	678955
161	8555	677990
162	8596	677029
163	8640	676300
164	8678	675113
165	8719	674122
166	8763	673394
167	8808	672810
168	8855	672330
169	8902	671889
170	8944	671075
171	8986	670256
172	9029	669456
173	9069	668570
174	9113	667882
175	9166	667904
176	9216	667708
177	9265	667451
178	9311	666909
179	9370	667372
180	9425	667564
181	9480	667690
182	9527	667287
183	9569	666549
184	9610	665737
185	9651	664882
186	9690	663997
187	9732	663247
188	9775	662636
189	9816	661858
190	9863	661474
191	9912	661235
192	9964	661197
193	10006	660501
194	10048	659853
195	10093	659378
196	10134	658622
197	10182	658361
198	10225	657756
199	10267	657094
200	10313	656703
201	10369	656949
202	10415	656570
203	10466	656488
204	10507	655798
205	10551	655319
206	10592	654637
207	10634	654035
208	10678	653554
209	10719	652838
210	10764	652440
211	10815	652377
212	10856	651732
213	10899	651190
214	10947	651001
215	11031	652902
216	11131	655731
217	11229	658419
218	11279	658260
219	11317	657465
220	11357	656709
221	11399	656155
222	11443	655645
223	11488	655261
224	11531	654759
225	11578	654436
226	11620	653873
227	11665	653496
228	11714	653317
229	11780	654086
230	11833	654135
231	11878	653721
232	11921	653245
233	11971	653103
234	12017	652792
235	12058	652189
236	12101	651691
237	12145	651270
238	12184	650580
239	12224	649953
240	12261	649166
241	12304	648656
242	12345	648108
243	12386	647551
244	12431	647208
245	12470	646527
246	12513	646110
247	12558	645763
248	12602	645380
249	12656	645495
250	12709	645570
251	12769	645987
252	12816	645737
253	12859	645286
254	12900	644757
255	12943	644328
256	12993	644243
257	13040	644042
258	13082	643552
259	13125	643149
260	13165	642591
261	13205	642010
262	13243	641391
263	13283	640822
264	13329	640585
265	13378	640465
266	13429	640440
267	13485	640657
268	13527	640224
269	13568	639732
270	13606	639110
271	13646	638582
272	13694	638403
273	13735	637962
274	13778	637573
275	13823	637289
276	13863	636777
277	13907	636446
278	13953	636187
279	14000	636009
280	14049	635909
281	14095	635682
282	14141	635450
283	14181	634982
284	14222	634536
285	14263	634082
286	14303	633606
287	14349	633356
288	14392	633014
289	14436	632707
290	14479	632377
291	14520	631949
292	14563	631581
293	14604	631173
294	14648	630881
295	14691	630559
296	14739	630444
297	14783	630137
298	14824	629702
299	14865	629301
300	14910	629078
301	14952	628685
302	14995	628355
303	15039	628101
304	15085	627915
