iter	Passed	Remaining
0	45	456294
1	95	479795
2	144	480391
3	190	477140
4	239	478610
5	299	498575
6	346	495364
7	389	487083
8	436	484504
9	478	477788
10	523	475215
11	567	472479
12	617	474739
13	662	472382
14	710	472851
15	757	472863
16	801	470419
17	844	468315
18	886	465754
19	937	467801
20	980	466021
21	1031	467740
22	1075	466437
23	1118	464832
24	1164	464492
25	1213	465514
26	1268	468622
27	1313	467687
28	1358	467164
29	1401	465873
30	1442	463920
31	1487	463281
32	1530	462297
33	1577	462512
34	1627	463438
35	1669	462128
36	1712	461078
37	1760	461560
38	1806	461313
39	1853	461456
40	1900	461586
41	1954	463498
42	2008	465065
43	2061	466459
44	2117	468450
45	2163	468227
46	2215	469184
47	2266	469975
48	2314	470016
49	2360	469685
50	2406	469521
51	2456	470024
52	2501	469466
53	2548	469397
54	2598	469930
55	2650	470566
56	2692	469710
57	2735	468836
58	2781	468609
59	2823	467757
60	2865	466889
61	2910	466599
62	2952	465637
63	2994	464973
64	3039	464605
65	3084	464202
66	3125	463297
67	3169	462862
68	3214	462618
69	3261	462628
70	3324	464849
71	3367	464379
72	3412	464058
73	3454	463312
74	3498	462954
75	3544	462806
76	3594	463170
77	3640	463132
78	3684	462681
79	3727	462182
80	3817	467488
81	3867	467783
82	3916	468006
83	3961	467596
84	4006	467322
85	4048	466692
86	4090	466132
87	4135	465832
88	4177	465242
89	4220	464776
90	4269	464896
91	4314	464695
92	4358	464245
93	4402	463940
94	4446	463612
95	4488	463087
96	4532	462714
97	4577	462548
98	4630	463113
99	4676	462995
100	4722	462842
101	4766	462532
102	4812	462400
103	4858	462319
104	4903	462086
105	4958	462784
106	5004	462669
107	5047	462348
108	5093	462178
109	5135	461753
110	5181	461588
111	5227	461522
112	5278	461824
113	5328	462113
114	5372	461824
115	5415	461470
116	5459	461166
117	5506	461151
118	5552	461039
119	5609	461874
120	5659	462106
121	5704	461861
122	5749	461715
123	5795	461600
124	5836	461064
125	5888	461420
126	5938	461658
127	5994	462294
128	6049	462891
129	6104	463476
130	6156	463787
131	6201	463598
132	6250	463728
133	6307	464393
134	6355	464455
135	6399	464176
136	6444	463951
137	6490	463853
138	6534	463543
139	6586	463905
140	6637	464101
141	6685	464157
142	6740	464592
143	6786	464530
144	6828	464092
145	6870	463692
146	6915	463524
147	6959	463305
148	7001	462928
149	7049	462897
150	7096	462851
151	7142	462790
152	7186	462524
153	7230	462284
154	7285	462773
155	7336	462974
156	7385	463038
157	7429	462768
158	7472	462501
159	7518	462393
160	7565	462323
161	7616	462517
162	7662	462405
163	7707	462267
164	7751	462048
