iter	Passed	Remaining
0	171	257268
1	648	485787
2	809	403859
3	980	366547
4	1436	429542
5	1655	412110
6	1830	390401
7	3246	605385
8	3711	614821
9	4021	599250
10	4246	574834
11	6959	863003
12	7264	830921
13	7468	792698
14	7647	757134
15	7807	724139
16	8282	722489
17	8736	719340
18	9027	703638
19	9327	690215
20	9499	669052
21	9640	647667
22	11041	709083
23	11278	693641
24	12690	748743
25	13015	737861
26	13220	721264
27	13360	702399
28	13544	687017
29	13712	671903
30	14191	672499
31	14970	686757
32	17672	785620
33	18258	787284
34	18600	778581
35	18747	762386
36	18986	750745
37	19805	762004
38	21221	795007
39	22026	803950
40	22267	792382
41	27521	955375
42	27755	940471
43	27917	923828
44	29425	951423
45	29580	935014
46	29939	925575
47	32711	989507
48	32895	974115
49	33124	960611
50	33593	954461
51	34420	958476
52	34598	944614
53	35995	963881
54	36129	949225
55	36320	936554
56	36780	931119
57	36974	919268
58	37145	907229
59	37292	895010
60	37512	884925
61	40186	932075
62	40656	927364
63	40833	916211
64	41058	906436
65	41239	896027
66	41468	886925
67	42242	889567
68	42424	879838
69	42890	876201
70	43712	879790
71	44015	872970
72	45424	887946
73	45565	878053
74	45792	870060
75	45971	861356
76	46281	855300
77	46428	846427
78	46604	838293
79	46785	830443
80	46912	821839
81	47208	816362
82	47382	808935
83	47835	806370
84	53026	882741
85	53329	876833
86	53511	869107
87	53969	865962
88	54747	867967
89	55053	862505
90	55244	855382
91	55444	848546
92	55807	844311
93	55953	836923
94	56148	830403
95	57573	842011
96	57715	834796
97	58029	830170
98	64397	911317
99	64618	904653
100	64774	897228
