iter	Passed	Remaining
0	70	210116
1	90	136008
2	108	107902
3	122	91661
4	142	85068
5	156	78166
6	161	69104
7	207	77581
8	228	75864
9	261	78174
10	262	71405
11	277	69061
12	297	68369
13	313	66769
14	314	62528
15	330	61654
16	334	58698
17	395	65534
18	411	64543
19	416	62032
20	427	60666
21	439	59547
22	443	57376
23	452	56098
24	464	55225
25	474	54301
26	486	53595
27	494	52484
28	509	52170
29	590	58461
30	633	60672
31	635	58939
32	646	58146
33	653	57018
34	654	55485
35	662	54518
36	666	53348
37	679	52982
38	712	54117
39	722	53440
40	732	52839
41	750	52880
42	762	52422
43	768	51635
44	776	50970
45	779	50073
46	793	49835
47	800	49224
48	841	50651
49	845	49869
50	864	49964
51	873	49516
52	876	48757
53	883	48205
54	887	47518
55	896	47117
56	1149	59374
57	1168	59279
58	1184	59048
59	1197	58674
60	1205	58084
61	1211	57394
62	1264	58934
63	1286	59017
64	1300	58714
65	1308	58162
66	1328	58139
67	1351	58260
68	1355	57567
69	1361	56975
70	1370	56533
71	1382	56234
72	1408	56492
73	1413	55902
74	1419	55377
75	1429	54991
76	1444	54845
77	1450	54353
78	1474	54530
79	1476	53892
80	1488	53640
81	1497	53298
82	1504	52860
83	1513	52525
84	1521	52172
85	1529	51841
86	1541	51626
87	1569	51944
88	1581	51713
89	1593	51536
90	1607	51387
91	1628	51490
92	1644	51389
93	1651	51061
94	1658	50701
95	1667	50447
96	1683	50373
97	1723	51022
98	1733	50806
99	2915	84535
100	2921	83854
101	2951	83851
102	2965	83418
103	2975	82866
104	3129	86287
105	3154	86133
106	3170	85714
107	3188	85379
108	3202	84928
109	3212	84397
110	3241	84373
111	3260	84085
112	3291	84081
113	3312	83870
114	3353	84120
115	3547	88192
116	3580	88230
117	3590	87688
118	3619	87624
119	3644	87457
120	3659	87070
121	3664	86435
122	3678	86042
123	3686	85503
124	3718	85514
125	3719	84834
126	3735	84505
127	3750	84159
128	3755	83578
129	3759	83004
130	3763	82432
131	3787	82290
132	3794	81797
133	3804	81381
134	3817	81016
135	3866	81429
136	3867	80828
137	3876	80398
138	3886	80002
139	3900	79672
140	3943	79960
141	3961	79729
142	3970	79321
143	3992	79186
144	4001	78791
145	5310	103804
146	5316	103186
147	5347	103046
148	5356	102490
149	5393	102478
150	5397	101844
151	5409	101357
152	5420	100871
153	5446	100660
154	5461	100253
155	5482	99941
156	5490	99428
157	5510	99121
158	5519	98618
159	5527	98105
160	5531	97545
161	5552	97272
162	5636	98097
163	5647	97662
164	5652	97117
165	5657	96578
166	5674	96259
167	5678	95727
168	5704	95554
169	5730	95401
170	5738	94933
171	5796	95311
172	5812	94980
173	5825	94609
174	5838	94245
175	5852	93911
176	5921	94449
177	5934	94084
178	5942	93655
179	5959	93359
180	5974	93042
181	6039	93517
182	6052	93163
183	6058	92714
184	6070	92369
185	6077	91945
186	6085	91536
187	6103	91288
188	6168	91746
189	6216	91943
190	6230	91637
191	6238	91244
192	6254	90962
193	6267	90653
194	6275	90266
195	6286	89936
196	6291	89511
197	6297	89118
198	6306	88760
199	6309	88334
200	6318	87987
201	6335	87753
202	6356	87579
203	6369	87300
204	6379	86980
205	6389	86660
206	6402	86392
207	6411	86055
208	6434	85922
209	6585	87489
210	6611	87397
211	6628	87174
212	6639	86873
213	6652	86605
214	6670	86408
215	6746	86950
216	6761	86710
217	6774	86453
218	6801	86365
219	6817	86153
220	6835	85948
221	6842	85626
222	6858	85407
223	6894	85444
224	6901	85122
225	6919	84935
226	6936	84740
227	7301	88770
228	7313	88495
229	7330	88287
230	7336	87937
231	7349	87684
232	7357	87378
233	7381	87252
234	7415	87254
235	7433	87063
236	7451	86867
237	7467	86660
238	8231	95088
239	8242	94785
240	8262	94591
241	8279	94360
242	8299	94167
243	8624	97419
244	8654	97324
245	8673	97098
246	8678	96723
247	8686	96393
248	8698	96100
249	8706	95773
250	8715	95453
251	8735	95263
252	8741	94915
253	8765	94768
254	8775	94460
255	8789	94210
256	8804	93971
257	8827	93821
258	8836	93517
259	8855	93325
260	8872	93107
261	8887	92879
262	8891	92528
263	8903	92275
264	9075	93665
265	9089	93418
266	9098	93135
267	9114	92917
268	9127	92665
269	9140	92419
270	9423	94898
271	9573	96016
272	9581	95711
273	9608	95595
274	9624	95365
275	9644	95185
276	9663	94996
277	9690	94884
278	10045	97972
279	10053	97664
280	10063	97377
281	10415	100389
282	10433	100165
283	10439	99833
284	10466	99710
285	10475	99408
286	10482	99094
287	10507	98944
288	10510	98592
289	10525	98360
290	10541	98132
291	11119	103124
292	11147	102994
293	11155	102672
294	11162	102356
295	11173	102074
296	11195	101893
297	11204	101588
298	11208	101250
299	11213	100917
300	11216	100580
301	11224	100276
302	11254	100174
303	11340	100574
304	11361	100394
305	11369	100099
306	11390	99914
307	11399	99633
308	11420	99459
309	11439	99263
310	11452	99019
311	11474	98854
312	11486	98608
313	11490	98293
314	11512	98133
315	11524	97889
316	11534	97628
317	11550	97414
318	11575	97288
319	11599	97146
320	11605	96857
321	11619	96632
322	11654	96588
323	11993	99058
324	12024	98973
325	12042	98779
326	12052	98517
327	12686	103346
328	12702	103126
329	12714	102873
330	12717	102548
331	12798	102851
332	12818	102661
333	12823	102355
334	12824	102023
335	12832	101744
336	12839	101454
337	12850	101207
338	12865	100991
339	12870	100689
340	12899	100586
341	12930	100497
342	12942	100258
343	12960	100066
344	12983	99916
345	13017	99852
346	13035	99660
347	13058	99518
348	13060	99205
349	13072	98976
350	13086	98767
351	13102	98570
352	13109	98303
353	13115	98034
354	13121	97766
355	13128	97505
356	13143	97308
357	13299	98146
358	13311	97924
359	13394	98224
360	13412	98051
361	13437	97926
362	13461	97791
363	13495	97732
364	13501	97472
365	13516	97275
366	13523	97023
367	13534	96798
368	13543	96566
369	13552	96329
370	13558	96077
371	13574	95895
372	13605	95822
373	13617	95612
374	13631	95419
375	13650	95265
376	13655	95010
377	13659	94749
378	13668	94524
379	13669	94247
380	13680	94042
381	13689	93821
382	13695	93582
