application_date,case_count,day,segment,y,m,d
2017-04-01,299.0,5,1,2017,04,01
2017-04-01,897.0,5,2,2017,04,01
2017-04-02,605.0,6,2,2017,04,02
2017-04-03,42.0,0,1,2017,04,03
2017-04-03,2016.0,0,2,2017,04,03
2017-04-04,23.0,1,1,2017,04,04
2017-04-04,2245.0,1,2,2017,04,04
2017-04-05,1530.0,2,1,2017,04,05
2017-04-05,2415.0,2,2,2017,04,05
2017-04-06,2379.0,3,2,2017,04,06
2017-04-07,1341.0,4,1,2017,04,07
2017-04-07,2249.0,4,2,2017,04,07
2017-04-08,2297.0,5,2,2017,04,08
2017-04-09,1435.0,6,2,2017,04,09
2017-04-10,3166.0,0,2,2017,04,10
2017-04-11,5649.0,1,2,2017,04,11
2017-04-12,1468.0,2,1,2017,04,12
2017-04-12,8781.0,2,2,2017,04,12
2017-04-13,1340.0,3,1,2017,04,13
2017-04-13,10351.0,3,2,2017,04,13
2017-04-14,1330.0,4,1,2017,04,14
2017-04-14,8289.0,4,2,2017,04,14
2017-04-15,981.0,5,1,2017,04,15
2017-04-15,8799.0,5,2,2017,04,15
2017-04-16,409.0,6,1,2017,04,16
2017-04-16,6745.0,6,2,2017,04,16
2017-04-17,1515.0,0,1,2017,04,17
2017-04-17,9597.0,0,2,2017,04,17
2017-04-18,1442.0,1,1,2017,04,18
2017-04-18,11351.0,1,2,2017,04,18
2017-04-19,1404.0,2,1,2017,04,19
2017-04-19,12310.0,2,2,2017,04,19
2017-04-20,1350.0,3,1,2017,04,20
2017-04-20,12384.0,3,2,2017,04,20
2017-04-21,1390.0,4,1,2017,04,21
2017-04-21,10857.0,4,2,2017,04,21
2017-04-22,1060.0,5,1,2017,04,22
2017-04-22,8881.0,5,2,2017,04,22
2017-04-23,380.0,6,1,2017,04,23
2017-04-23,6172.0,6,2,2017,04,23
2017-04-24,1626.0,0,1,2017,04,24
2017-04-24,5931.0,0,2,2017,04,24
2017-04-25,1450.0,1,1,2017,04,25
2017-04-25,4422.0,1,2,2017,04,25
2017-04-26,1546.0,2,1,2017,04,26
2017-04-26,2384.0,2,2,2017,04,26
2017-04-27,1710.0,3,1,2017,04,27
2017-04-27,1102.0,3,2,2017,04,27
2017-04-28,1927.0,4,1,2017,04,28
2017-04-28,810.0,4,2,2017,04,28
2017-04-29,1355.0,5,1,2017,04,29
2017-04-29,854.0,5,2,2017,04,29
2017-04-30,6472.0,6,1,2017,04,30
2017-04-30,881.0,6,2,2017,04,30
2017-05-01,1472.0,0,1,2017,05,01
2017-05-01,1354.0,0,2,2017,05,01
2017-05-02,198.0,1,1,2017,05,02
2017-05-02,1929.0,1,2,2017,05,02
2017-05-03,76.0,2,1,2017,05,03
2017-05-03,1925.0,2,2,2017,05,03
2017-05-04,165.0,3,1,2017,05,04
2017-05-04,2993.0,3,2,2017,05,04
2017-05-05,2457.0,4,1,2017,05,05
2017-05-05,2724.0,4,2,2017,05,05
2017-05-06,2441.0,5,2,2017,05,06
2017-05-07,426.0,6,1,2017,05,07
2017-05-07,1652.0,6,2,2017,05,07
2017-05-08,4.0,0,1,2017,05,08
2017-05-08,2118.0,0,2,2017,05,08
2017-05-09,51.0,1,1,2017,05,09
2017-05-09,2964.0,1,2,2017,05,09
2017-05-10,1582.0,2,1,2017,05,10
2017-05-10,3030.0,2,2,2017,05,10
2017-05-11,1423.0,3,1,2017,05,11
2017-05-11,6776.0,3,2,2017,05,11
2017-05-12,1533.0,4,1,2017,05,12
2017-05-12,8364.0,4,2,2017,05,12
2017-05-13,1125.0,5,1,2017,05,13
2017-05-13,6431.0,5,2,2017,05,13
2017-05-14,338.0,6,1,2017,05,14
2017-05-14,5005.0,6,2,2017,05,14
2017-05-15,1733.0,0,1,2017,05,15
2017-05-15,8251.0,0,2,2017,05,15
2017-05-16,1500.0,1,1,2017,05,16
2017-05-16,8312.0,1,2,2017,05,16
2017-05-17,1632.0,2,1,2017,05,17
2017-05-17,9642.0,2,2,2017,05,17
2017-05-18,1530.0,3,1,2017,05,18
2017-05-18,13979.0,3,2,2017,05,18
2017-05-19,1576.0,4,1,2017,05,19
2017-05-19,10976.0,4,2,2017,05,19
2017-05-20,1220.0,5,1,2017,05,20
2017-05-20,10215.0,5,2,2017,05,20
2017-05-21,458.0,6,1,2017,05,21
2017-05-21,7058.0,6,2,2017,05,21
2017-05-22,1746.0,0,1,2017,05,22
2017-05-22,8148.0,0,2,2017,05,22
2017-05-23,1615.0,1,1,2017,05,23
2017-05-23,8625.0,1,2,2017,05,23
2017-05-24,1623.0,2,1,2017,05,24
2017-05-24,7599.0,2,2,2017,05,24
2017-05-25,1529.0,3,1,2017,05,25
2017-05-25,6402.0,3,2,2017,05,25
2017-05-26,1587.0,4,1,2017,05,26
2017-05-26,4841.0,4,2,2017,05,26
2017-05-27,1277.0,5,1,2017,05,27
2017-05-27,3915.0,5,2,2017,05,27
2017-05-28,524.0,6,1,2017,05,28
2017-05-28,1193.0,6,2,2017,05,28
2017-05-29,1935.0,0,1,2017,05,29
2017-05-29,747.0,0,2,2017,05,29
2017-05-30,1732.0,1,1,2017,05,30
2017-05-30,1396.0,1,2,2017,05,30
2017-05-31,6740.0,2,1,2017,05,31
2017-05-31,2041.0,2,2,2017,05,31
2017-06-01,3.0,3,1,2017,06,01
2017-06-01,4245.0,3,2,2017,06,01
2017-06-02,642.0,4,1,2017,06,02
2017-06-02,3926.0,4,2,2017,06,02
2017-06-03,497.0,5,1,2017,06,03
2017-06-03,4417.0,5,2,2017,06,03
2017-06-04,408.0,6,1,2017,06,04
2017-06-04,1800.0,6,2,2017,06,04
2017-06-05,1696.0,0,1,2017,06,05
2017-06-05,2929.0,0,2,2017,06,05
2017-06-06,193.0,1,1,2017,06,06
2017-06-06,4258.0,1,2,2017,06,06
2017-06-07,1736.0,2,1,2017,06,07
2017-06-07,4206.0,2,2,2017,06,07
2017-06-08,1445.0,3,1,2017,06,08
2017-06-08,4547.0,3,2,2017,06,08
2017-06-09,2061.0,4,1,2017,06,09
2017-06-09,4954.0,4,2,2017,06,09
2017-06-10,1549.0,5,1,2017,06,10
2017-06-10,5803.0,5,2,2017,06,10
2017-06-11,667.0,6,1,2017,06,11
2017-06-11,6336.0,6,2,2017,06,11
2017-06-12,2176.0,0,1,2017,06,12
2017-06-12,11984.0,0,2,2017,06,12
2017-06-13,1972.0,1,1,2017,06,13
2017-06-13,16631.0,1,2,2017,06,13
2017-06-14,2053.0,2,1,2017,06,14
2017-06-14,16384.0,2,2,2017,06,14
2017-06-15,1958.0,3,1,2017,06,15
2017-06-15,16919.0,3,2,2017,06,15
2017-06-16,2111.0,4,1,2017,06,16
2017-06-16,16392.0,4,2,2017,06,16
2017-06-17,1744.0,5,1,2017,06,17
2017-06-17,14947.0,5,2,2017,06,17
2017-06-18,706.0,6,1,2017,06,18
2017-06-18,10709.0,6,2,2017,06,18
2017-06-19,2443.0,0,1,2017,06,19
2017-06-19,14096.0,0,2,2017,06,19
2017-06-20,2127.0,1,1,2017,06,20
2017-06-20,16381.0,1,2,2017,06,20
2017-06-21,2363.0,2,1,2017,06,21
2017-06-21,16155.0,2,2,2017,06,21
2017-06-22,2495.0,3,1,2017,06,22
2017-06-22,14993.0,3,2,2017,06,22
2017-06-23,2639.0,4,1,2017,06,23
2017-06-23,11908.0,4,2,2017,06,23
2017-06-24,2582.0,5,1,2017,06,24
2017-06-24,8951.0,5,2,2017,06,24
2017-06-25,1647.0,6,1,2017,06,25
2017-06-25,5764.0,6,2,2017,06,25
2017-06-26,1774.0,0,1,2017,06,26
2017-06-26,5728.0,0,2,2017,06,26
2017-06-27,1935.0,1,1,2017,06,27
2017-06-27,3152.0,1,2,2017,06,27
2017-06-28,2168.0,2,1,2017,06,28
2017-06-28,2517.0,2,2,2017,06,28
2017-06-29,2291.0,3,1,2017,06,29
2017-06-29,1899.0,3,2,2017,06,29
2017-06-30,9750.0,4,1,2017,06,30
2017-06-30,1973.0,4,2,2017,06,30
2017-07-01,1811.0,5,1,2017,07,01
2017-07-01,2073.0,5,2,2017,07,01
2017-07-02,5.0,6,1,2017,07,02
2017-07-02,1343.0,6,2,2017,07,02
2017-07-03,2932.0,0,2,2017,07,03
2017-07-04,4657.0,1,2,2017,07,04
2017-07-05,1304.0,2,1,2017,07,05
2017-07-05,4882.0,2,2,2017,07,05
2017-07-06,154.0,3,1,2017,07,06
2017-07-06,5000.0,3,2,2017,07,06
2017-07-07,495.0,4,1,2017,07,07
2017-07-07,5322.0,4,2,2017,07,07
2017-07-08,4885.0,5,2,2017,07,08
2017-07-09,3939.0,6,2,2017,07,09
2017-07-10,1878.0,0,1,2017,07,10
2017-07-10,5733.0,0,2,2017,07,10
2017-07-11,1510.0,1,1,2017,07,11
2017-07-11,12403.0,1,2,2017,07,11
2017-07-12,1713.0,2,1,2017,07,12
2017-07-12,16716.0,2,2,2017,07,12
2017-07-13,1540.0,3,1,2017,07,13
2017-07-13,19424.0,3,2,2017,07,13
2017-07-14,1552.0,4,1,2017,07,14
2017-07-14,19432.0,4,2,2017,07,14
2017-07-15,1185.0,5,1,2017,07,15
2017-07-15,17602.0,5,2,2017,07,15
2017-07-16,602.0,6,1,2017,07,16
2017-07-16,11732.0,6,2,2017,07,16
2017-07-17,1842.0,0,1,2017,07,17
2017-07-17,18006.0,0,2,2017,07,17
2017-07-18,1568.0,1,1,2017,07,18
2017-07-18,20867.0,1,2,2017,07,18
2017-07-19,1592.0,2,1,2017,07,19
2017-07-19,21357.0,2,2,2017,07,19
2017-07-20,1558.0,3,1,2017,07,20
2017-07-20,22155.0,3,2,2017,07,20
2017-07-21,1623.0,4,1,2017,07,21
2017-07-21,17095.0,4,2,2017,07,21
2017-07-22,1087.0,5,1,2017,07,22
2017-07-22,15158.0,5,2,2017,07,22
2017-07-23,450.0,6,1,2017,07,23
2017-07-23,10019.0,6,2,2017,07,23
