application_date,segment,case_count,day
2017-04-01,1,299.0,5
2017-04-01,2,897.0,0
2017-04-02,2,605.0,1
2017-04-03,1,42.0,2
2017-04-03,2,2016.0,4
2017-04-04,1,23.0,2
2017-04-04,2,2245.0,3
2017-04-05,1,1530.0,4
2017-04-05,2,2415.0,5
2017-04-06,2,2379.0,6
2017-04-07,1,1341.0,0
2017-04-07,2,2249.0,1
2017-04-08,2,2297.0,2
2017-04-09,2,1435.0,3
2017-04-10,2,3166.0,4
2017-04-11,2,5649.0,5
2017-04-12,1,1468.0,6
2017-04-12,2,8781.0,0
2017-04-13,1,1340.0,1
2017-04-13,2,10351.0,2
2017-04-14,1,1330.0,3
2017-04-14,2,8289.0,4
2017-04-15,1,981.0,5
2017-04-15,2,8799.0,6
2017-04-16,1,409.0,0
2017-04-16,2,6745.0,1
2017-04-17,1,1515.0,2
2017-04-17,2,9597.0,3
2017-04-18,1,1442.0,4
2017-04-18,2,11351.0,6
2017-04-19,1,1404.0,0
2017-04-19,2,12310.0,1
2017-04-20,1,1350.0,2
2017-04-20,2,12384.0,3
2017-04-21,1,1390.0,4
2017-04-21,2,10857.0,5
2017-04-22,1,1060.0,6
2017-04-22,2,8881.0,0
2017-04-23,1,380.0,1
2017-04-23,2,6172.0,2
2017-04-24,1,1626.0,3
2017-04-24,2,5931.0,4
2017-04-25,1,1450.0,5
2017-04-25,2,4422.0,6
2017-04-26,1,1546.0,0
2017-04-26,2,2384.0,1
2017-04-27,1,1710.0,2
2017-04-27,2,1102.0,3
2017-04-28,1,1927.0,4
2017-04-28,2,810.0,5
2017-04-29,1,1355.0,6
2017-04-29,2,854.0,0
2017-04-30,1,6472.0,1
2017-04-30,2,881.0,2
2017-05-01,1,1472.0,3
2017-05-01,2,1354.0,4
2017-05-02,1,198.0,5
2017-05-02,2,1929.0,6
2017-05-03,1,76.0,0
2017-05-03,2,1925.0,1
2017-05-04,1,165.0,2
2017-05-04,2,2993.0,3
2017-05-05,1,2457.0,4
2017-05-05,2,2724.0,5
2017-05-06,2,2441.0,6
2017-05-07,1,426.0,0
2017-05-07,2,1652.0,1
2017-05-08,1,4.0,2
2017-05-08,2,2118.0,3
2017-05-09,1,51.0,4
2017-05-09,2,2964.0,5
2017-05-10,1,1582.0,6
2017-05-10,2,3030.0,0
2017-05-11,1,1423.0,1
2017-05-11,2,6776.0,2
2017-05-12,1,1533.0,3
2017-05-12,2,8364.0,4
2017-05-13,1,1125.0,5
2017-05-13,2,6431.0,6
2017-05-14,1,338.0,0
2017-05-14,2,5005.0,1
2017-05-15,1,1733.0,2
2017-05-15,2,8251.0,3
2017-05-16,1,1500.0,4
2017-05-16,2,8312.0,5
2017-05-17,1,1632.0,6
2017-05-17,2,9642.0,2
2017-05-18,1,1530.0,3
2017-05-18,2,13979.0,4
2017-05-19,1,1576.0,0
2017-05-19,2,10976.0,1
2017-05-20,1,1220.0,2
2017-05-20,2,10215.0,3
2017-05-21,1,458.0,4
2017-05-21,2,7058.0,5
2017-05-22,1,1746.0,6
2017-05-22,2,8148.0,0
2017-05-23,1,1615.0,1
2017-05-23,2,8625.0,2
2017-05-24,1,1623.0,3
2017-05-24,2,7599.0,4
2017-05-25,1,1529.0,5
2017-05-25,2,6402.0,6
2017-05-26,1,1587.0,0
2017-05-26,2,4841.0,1
2017-05-27,1,1277.0,2
2017-05-27,2,3915.0,3
2017-05-28,1,524.0,4
2017-05-28,2,1193.0,5
2017-05-29,1,1935.0,6
2017-05-29,2,747.0,0
2017-05-30,1,1732.0,1
2017-05-30,2,1396.0,3
2017-05-31,1,6740.0,4
2017-05-31,2,2041.0,5
2017-06-01,1,3.0,6
2017-06-01,2,4245.0,0
2017-06-02,1,642.0,1
2017-06-02,2,3926.0,2
2017-06-03,1,497.0,3
2017-06-03,2,4417.0,4
2017-06-04,1,408.0,5
2017-06-04,2,1800.0,6
2017-06-05,1,1696.0,0
2017-06-05,2,2929.0,1
2017-06-06,1,193.0,2
2017-06-06,2,4258.0,3
2017-06-07,1,1736.0,4
2017-06-07,2,4206.0,5
2017-06-08,1,1445.0,6
2017-06-08,2,4547.0,0
2017-06-09,1,2061.0,1
2017-06-09,2,4954.0,2
2017-06-10,1,1549.0,3
2017-06-10,2,5803.0,4
2017-06-11,1,667.0,5
2017-06-11,2,6336.0,6
2017-06-12,1,2176.0,0
2017-06-12,2,11984.0,1
2017-06-13,1,1972.0,2
2017-06-13,2,16631.0,3
2017-06-14,1,2053.0,0
2017-06-14,2,16384.0,1
2017-06-15,1,1958.0,3
2017-06-15,2,16919.0,4
2017-06-16,1,2111.0,5
2017-06-16,2,16392.0,6
2017-06-17,1,1744.0,0
2017-06-17,2,14947.0,1
2017-06-18,1,706.0,2
2017-06-18,2,10709.0,3
2017-06-19,1,2443.0,4
2017-06-19,2,14096.0,5
2017-06-20,1,2127.0,6
2017-06-20,2,16381.0,0
2017-06-21,1,2363.0,1
2017-06-21,2,16155.0,2
2017-06-22,1,2495.0,3
2017-06-22,2,14993.0,4
2017-06-23,1,2639.0,5
2017-06-23,2,11908.0,6
2017-06-24,1,2582.0,0
2017-06-24,2,8951.0,1
2017-06-25,1,1647.0,2
2017-06-25,2,5764.0,3
2017-06-26,1,1774.0,4
2017-06-26,2,5728.0,5
2017-06-27,1,1935.0,6
2017-06-27,2,3152.0,0
2017-06-28,1,2168.0,1
2017-06-28,2,2517.0,2
2017-06-29,1,2291.0,3
2017-06-29,2,1899.0,4
2017-06-30,1,9750.0,5
2017-06-30,2,1973.0,6
2017-07-01,1,1811.0,0
2017-07-01,2,2073.0,1
2017-07-02,1,5.0,2
2017-07-02,2,1343.0,3
2017-07-03,2,2932.0,4
2017-07-04,2,4657.0,5
2017-07-05,1,1304.0,6
2017-07-05,2,4882.0,0
2017-07-06,1,154.0,1
2017-07-06,2,5000.0,2
2017-07-07,1,495.0,3
2017-07-07,2,5322.0,4
2017-07-08,2,4885.0,5
2017-07-09,2,3939.0,6
2017-07-10,1,1878.0,0
2017-07-10,2,5733.0,1
2017-07-11,1,1510.0,2
2017-07-11,2,12403.0,3
2017-07-12,1,1713.0,4
2017-07-12,2,16716.0,5
2017-07-13,1,1540.0,6
2017-07-13,2,19424.0,0
2017-07-14,1,1552.0,1
2017-07-14,2,19432.0,2
2017-07-15,1,1185.0,3
2017-07-15,2,17602.0,4
2017-07-16,1,602.0,5
2017-07-16,2,11732.0,6
2017-07-17,1,1842.0,0
2017-07-17,2,18006.0,1
2017-07-18,1,1568.0,2
2017-07-18,2,20867.0,3
2017-07-19,1,1592.0,4
2017-07-19,2,21357.0,5
2017-07-20,1,1558.0,6
2017-07-20,2,22155.0,0
2017-07-21,1,1623.0,1
2017-07-21,2,17095.0,2
2017-07-22,1,1087.0,3
2017-07-22,2,15158.0,4
2017-07-23,1,450.0,5
2017-07-23,2,10019.0,6
2017-07-24,1,1774.0,0
2017-07-24,2,9565.0,1
2017-07-25,1,1540.0,2
2017-07-25,2,9210.0,3
2017-07-26,1,1586.0,4
2017-07-26,2,8593.0,5
2017-07-27,1,1502.0,6
2017-07-27,2,6654.0,0
2017-07-28,1,1710.0,1
2017-07-28,2,2203.0,2
2017-07-29,1,1375.0,3
2017-07-29,2,1251.0,4
2017-07-30,1,681.0,5
2017-07-30,2,798.0,6
2017-07-31,1,11594.0,0
2017-07-31,2,1887.0,1
2017-08-01,1,921.0,2
2017-08-01,2,4455.0,3
2017-08-02,2,5794.0,4
2017-08-03,1,2.0,5
2017-08-03,2,5792.0,6
2017-08-04,1,1.0,0
2017-08-04,2,5173.0,1
2017-08-05,1,4.0,2
2017-08-05,2,5289.0,3
2017-08-06,1,3.0,4
2017-08-06,2,4052.0,5
2017-08-07,1,1893.0,6
2017-08-07,2,4551.0,0
2017-08-08,1,1850.0,1
2017-08-08,2,5451.0,2
2017-08-09,1,2010.0,3
2017-08-09,2,6984.0,4
2017-08-10,1,2037.0,5
