,index,Unnamed: 0,application_date,case_count,day,segment
0,0,,2017-04-01,299.0,415,1
1,1,,2017-04-01,897.0,80,2
2,2,,2017-04-02,605.0,96,2
3,3,,2017-04-03,42.0,0,1
4,4,,2017-04-03,2016.0,0,2
5,5,,2017-04-04,23.0,83,1
6,6,,2017-04-04,2245.0,16,2
7,7,,2017-04-05,1530.0,166,1
8,8,,2017-04-05,2415.0,32,2
9,9,,2017-04-06,2379.0,48,2
10,10,,2017-04-07,1341.0,332,1
11,11,,2017-04-07,2249.0,64,2
12,12,,2017-04-08,2297.0,80,2
13,13,,2017-04-09,1435.0,96,2
14,14,,2017-04-10,3166.0,0,2
15,15,,2017-04-11,5649.0,16,2
16,16,,2017-04-12,1468.0,166,1
17,17,,2017-04-12,8781.0,32,2
18,18,,2017-04-13,1340.0,249,1
19,19,,2017-04-13,10351.0,48,2
20,20,,2017-04-14,1330.0,332,1
21,21,,2017-04-14,8289.0,64,2
22,22,,2017-04-15,981.0,415,1
23,23,,2017-04-15,8799.0,80,2
24,24,,2017-04-16,409.0,498,1
25,25,,2017-04-16,6745.0,96,2
26,26,,2017-04-17,1515.0,0,1
27,27,,2017-04-17,9597.0,0,2
28,28,,2017-04-18,1442.0,83,1
29,29,,2017-04-18,11351.0,16,2
30,30,,2017-04-19,1404.0,166,1
31,31,,2017-04-19,12310.0,32,2
32,32,,2017-04-20,1350.0,249,1
33,33,,2017-04-20,12384.0,48,2
34,34,,2017-04-21,1390.0,332,1
35,35,,2017-04-21,10857.0,64,2
36,36,,2017-04-22,1060.0,415,1
37,37,,2017-04-22,8881.0,80,2
38,38,,2017-04-23,380.0,498,1
39,39,,2017-04-23,6172.0,96,2
40,40,,2017-04-24,1626.0,0,1
41,41,,2017-04-24,5931.0,0,2
42,42,,2017-04-25,1450.0,83,1
43,43,,2017-04-25,4422.0,16,2
44,44,,2017-04-26,1546.0,166,1
45,45,,2017-04-26,2384.0,32,2
46,46,,2017-04-27,1710.0,249,1
47,47,,2017-04-27,1102.0,48,2
48,48,,2017-04-28,1927.0,332,1
49,49,,2017-04-28,810.0,64,2
50,50,,2017-04-29,1355.0,415,1
51,51,,2017-04-29,854.0,80,2
52,52,,2017-04-30,6472.0,498,1
53,53,,2017-04-30,881.0,96,2
54,54,,2017-05-01,1472.0,0,1
55,55,,2017-05-01,1354.0,0,2
56,56,,2017-05-02,198.0,83,1
57,57,,2017-05-02,1929.0,16,2
58,58,,2017-05-03,76.0,166,1
59,59,,2017-05-03,1925.0,32,2
60,60,,2017-05-04,165.0,249,1
61,61,,2017-05-04,2993.0,48,2
62,62,,2017-05-05,2457.0,332,1
63,63,,2017-05-05,2724.0,64,2
64,64,,2017-05-06,2441.0,80,2
65,65,,2017-05-07,426.0,498,1
66,66,,2017-05-07,1652.0,96,2
67,67,,2017-05-08,4.0,0,1
68,68,,2017-05-08,2118.0,0,2
69,69,,2017-05-09,51.0,83,1
70,70,,2017-05-09,2964.0,16,2
71,71,,2017-05-10,1582.0,166,1
72,72,,2017-05-10,3030.0,32,2
73,73,,2017-05-11,1423.0,249,1
74,74,,2017-05-11,6776.0,48,2
75,75,,2017-05-12,1533.0,332,1
76,76,,2017-05-12,8364.0,64,2
77,77,,2017-05-13,1125.0,415,1
78,78,,2017-05-13,6431.0,80,2
79,79,,2017-05-14,338.0,498,1
80,80,,2017-05-14,5005.0,96,2
81,81,,2017-05-15,1733.0,0,1
82,82,,2017-05-15,8251.0,0,2
83,83,,2017-05-16,1500.0,83,1
84,84,,2017-05-16,8312.0,16,2
85,85,,2017-05-17,1632.0,166,1
86,86,,2017-05-17,9642.0,32,2
87,87,,2017-05-18,1530.0,249,1
88,88,,2017-05-18,13979.0,48,2
89,89,,2017-05-19,1576.0,332,1
90,90,,2017-05-19,10976.0,64,2
91,91,,2017-05-20,1220.0,415,1
92,92,,2017-05-20,10215.0,80,2
93,93,,2017-05-21,458.0,498,1
94,94,,2017-05-21,7058.0,96,2
95,95,,2017-05-22,1746.0,0,1
96,96,,2017-05-22,8148.0,0,2
97,97,,2017-05-23,1615.0,83,1
98,98,,2017-05-23,8625.0,16,2
99,99,,2017-05-24,1623.0,166,1
100,100,,2017-05-24,7599.0,32,2
101,101,,2017-05-25,1529.0,249,1
102,102,,2017-05-25,6402.0,48,2
103,103,,2017-05-26,1587.0,332,1
104,104,,2017-05-26,4841.0,64,2
105,105,,2017-05-27,1277.0,415,1
106,106,,2017-05-27,3915.0,80,2
107,107,,2017-05-28,524.0,498,1
108,108,,2017-05-28,1193.0,96,2
109,109,,2017-05-29,1935.0,0,1
