,application_date,segment,case_count,day
0,2017-04-01,1,40.0,5
1,2017-04-03,1,5.0,0
2,2017-04-04,1,4.0,1
3,2017-04-05,1,113.0,2
4,2017-04-07,1,76.0,4
5,2017-04-12,1,123.0,2
6,2017-04-13,1,81.0,3
7,2017-04-14,1,117.0,4
8,2017-04-15,1,127.0,5
9,2017-04-16,1,42.0,6
10,2017-04-17,1,145.0,0
11,2017-04-18,1,100.0,1
12,2017-04-19,1,140.0,2
13,2017-04-20,1,81.0,3
14,2017-04-21,1,120.0,4
15,2017-04-22,1,79.0,5
16,2017-04-23,1,41.0,6
17,2017-04-24,1,111.0,0
18,2017-04-25,1,115.0,1
19,2017-04-26,1,124.0,2
20,2017-04-27,1,114.0,3
21,2017-04-28,1,114.0,4
22,2017-04-29,1,127.0,5
23,2017-04-30,1,497.0,6
24,2017-05-01,1,130.0,0
25,2017-05-02,1,17.0,1
26,2017-05-03,1,11.0,2
27,2017-05-04,1,18.0,3
28,2017-05-05,1,188.0,4
29,2017-05-07,1,26.0,6
30,2017-05-08,1,0.0,0
31,2017-05-09,1,1.0,1
32,2017-05-10,1,147.0,2
33,2017-05-11,1,97.0,3
34,2017-05-12,1,124.0,4
35,2017-05-13,1,88.0,5
36,2017-05-14,1,50.0,6
37,2017-05-15,1,170.0,0
38,2017-05-16,1,132.0,1
39,2017-05-17,1,143.0,2
40,2017-05-18,1,107.0,3
41,2017-05-19,1,98.0,4
42,2017-05-20,1,96.0,5
43,2017-05-21,1,47.0,6
44,2017-05-22,1,137.0,0
45,2017-05-23,1,115.0,1
46,2017-05-24,1,121.0,2
47,2017-05-25,1,99.0,3
48,2017-05-26,1,111.0,4
49,2017-05-27,1,109.0,5
50,2017-05-28,1,66.0,6
51,2017-05-29,1,133.0,0
52,2017-05-30,1,122.0,1
53,2017-05-31,1,488.0,2
54,2017-06-01,1,0.0,3
55,2017-06-02,1,39.0,4
56,2017-06-03,1,40.0,5
57,2017-06-04,1,29.0,6
58,2017-06-05,1,133.0,0
59,2017-06-06,1,18.0,1
60,2017-06-07,1,113.0,2
61,2017-06-08,1,98.0,3
62,2017-06-09,1,157.0,4
63,2017-06-10,1,147.0,5
64,2017-06-11,1,73.0,6
65,2017-06-12,1,177.0,0
66,2017-06-13,1,152.0,1
67,2017-06-14,1,179.0,2
68,2017-06-15,1,157.0,3
69,2017-06-16,1,161.0,4
70,2017-06-17,1,182.0,5
71,2017-06-18,1,92.0,6
72,2017-06-19,1,209.0,0
73,2017-06-20,1,183.0,1
74,2017-06-21,1,236.0,2
75,2017-06-22,1,222.0,3
76,2017-06-23,1,258.0,4
77,2017-06-24,1,323.0,5
78,2017-06-25,1,297.0,6
79,2017-06-26,1,147.0,0
80,2017-06-27,1,172.0,1
81,2017-06-28,1,189.0,2
82,2017-06-29,1,187.0,3
83,2017-06-30,1,730.0,4
84,2017-07-01,1,107.0,5
85,2017-07-02,1,0.0,6
86,2017-07-05,1,106.0,2
87,2017-07-06,1,8.0,3
88,2017-07-07,1,40.0,4
89,2017-07-10,1,147.0,0
90,2017-07-11,1,108.0,1
91,2017-07-12,1,108.0,2
92,2017-07-13,1,95.0,3
93,2017-07-14,1,116.0,4
94,2017-07-15,1,86.0,5
95,2017-07-16,1,60.0,6
96,2017-07-17,1,133.0,0
97,2017-07-18,1,124.0,1
98,2017-07-19,1,142.0,2
99,2017-07-20,1,87.0,3
100,2017-07-21,1,107.0,4
101,2017-07-22,1,64.0,5
102,2017-07-23,1,41.0,6
103,2017-07-24,1,77.0,0
104,2017-07-25,1,79.0,1
105,2017-07-26,1,111.0,2
106,2017-07-27,1,75.0,3
107,2017-07-28,1,101.0,4
108,2017-07-29,1,85.0,5
109,2017-07-30,1,75.0,6
110,2017-07-31,1,716.0,0
111,2017-08-01,1,59.0,1
112,2017-08-03,1,1.0,3
113,2017-08-04,1,0.0,4
114,2017-08-05,1,1.0,5
115,2017-08-06,1,0.0,6
116,2017-08-07,1,167.0,0
117,2017-08-08,1,136.0,1
118,2017-08-09,1,108.0,2
119,2017-08-10,1,130.0,3
120,2017-08-11,1,146.0,4
121,2017-08-12,1,125.0,5
122,2017-08-13,1,78.0,6
123,2017-08-14,1,202.0,0
124,2017-08-15,1,66.0,1
125,2017-08-16,1,202.0,2
126,2017-08-17,1,136.0,3
127,2017-08-18,1,142.0,4
128,2017-08-19,1,138.0,5
129,2017-08-20,1,113.0,6
130,2017-08-21,1,179.0,0
131,2017-08-22,1,170.0,1
132,2017-08-23,1,186.0,2
133,2017-08-24,1,154.0,3
134,2017-08-25,1,195.0,4
135,2017-08-26,1,150.0,5
136,2017-08-27,1,131.0,6
137,2017-08-28,1,218.0,0
138,2017-08-29,1,145.0,1
139,2017-08-30,1,207.0,2
140,2017-08-31,1,1397.0,3
141,2017-09-04,1,3.0,0
142,2017-09-05,1,109.0,1
143,2017-09-07,1,103.0,3
144,2017-09-08,1,225.0,4
145,2017-09-09,1,185.0,5
146,2017-09-10,1,202.0,6
147,2017-09-11,1,263.0,0
148,2017-09-12,1,259.0,1
149,2017-09-13,1,254.0,2
150,2017-09-14,1,311.0,3
151,2017-09-15,1,362.0,4
152,2017-09-16,1,299.0,5
153,2017-09-17,1,135.0,6
154,2017-09-18,1,342.0,0
155,2017-09-19,1,325.0,1
156,2017-09-20,1,335.0,2
157,2017-09-21,1,303.0,3
158,2017-09-22,1,339.0,4
159,2017-09-23,1,350.0,5
160,2017-09-24,1,416.0,6
161,2017-09-25,1,424.0,0
162,2017-09-26,1,526.0,1
163,2017-09-27,1,311.0,2
164,2017-09-28,1,96.0,3
165,2017-09-29,1,39.0,4
166,2017-09-30,1,1417.0,5
167,2017-10-01,1,22.0,6
168,2017-10-02,1,3.0,0
169,2017-10-03,1,3.0,1
170,2017-10-04,1,5.0,2
171,2017-10-05,1,8.0,3
172,2017-10-06,1,2.0,4
173,2017-10-07,1,2.0,5
174,2017-10-08,1,8.0,6
175,2017-10-09,1,87.0,0
176,2017-10-10,1,137.0,1
177,2017-10-11,1,275.0,2
178,2017-10-12,1,218.0,3
179,2017-10-13,1,249.0,4
180,2017-10-14,1,235.0,5
181,2017-10-15,1,243.0,6
182,2017-10-16,1,406.0,0
183,2017-10-17,1,428.0,1
184,2017-10-18,1,392.0,2
185,2017-10-19,1,277.0,3
186,2017-10-20,1,134.0,4
187,2017-10-21,1,58.0,5
188,2017-10-22,1,112.0,6
189,2017-10-23,1,215.0,0
190,2017-10-24,1,191.0,1
191,2017-10-25,1,190.0,2
192,2017-10-26,1,149.0,3
193,2017-10-27,1,201.0,4
194,2017-10-28,1,160.0,5
195,2017-10-29,1,109.0,6
196,2017-10-30,1,200.0,0
197,2017-10-31,1,1054.0,1
198,2017-11-01,1,44.0,2
199,2017-11-02,1,0.0,3
200,2017-11-03,1,0.0,4
201,2017-11-04,1,0.0,5
202,2017-11-05,1,1.0,6
203,2017-11-06,1,0.0,0
204,2017-11-07,1,6.0,1
205,2017-11-08,1,111.0,2
206,2017-11-09,1,127.0,3
207,2017-11-10,1,129.0,4
208,2017-11-11,1,124.0,5
209,2017-11-12,1,82.0,6
210,2017-11-13,1,158.0,0
211,2017-11-14,1,132.0,1
212,2017-11-15,1,79.0,2
213,2017-11-16,1,93.0,3
214,2017-11-17,1,115.0,4
215,2017-11-18,1,123.0,5
216,2017-11-19,1,239.0,6
217,2017-11-20,1,0.0,0
218,2017-11-21,1,139.0,1
219,2017-11-22,1,126.0,2
220,2017-11-23,1,123.0,3
221,2017-11-24,1,124.0,4
222,2017-11-25,1,115.0,5
223,2017-11-26,1,71.0,6
224,2017-11-27,1,131.0,0
225,2017-11-28,1,111.0,1
226,2017-11-29,1,140.0,2
227,2017-11-30,1,449.0,3
228,2017-12-01,1,0.0,4
229,2017-12-02,1,0.0,5
230,2017-12-03,1,11.0,6
231,2017-12-04,1,114.0,0
232,2017-12-05,1,141.0,1
233,2017-12-06,1,127.0,2
234,2017-12-07,1,106.0,3
235,2017-12-08,1,136.0,4
236,2017-12-09,1,107.0,5
237,2017-12-10,1,52.0,6
238,2017-12-11,1,174.0,0
239,2017-12-12,1,162.0,1
240,2017-12-13,1,166.0,2
241,2017-12-14,1,145.0,3
242,2017-12-15,1,165.0,4
243,2017-12-16,1,90.0,5
244,2017-12-17,1,105.0,6
245,2017-12-18,1,236.0,0
246,2017-12-19,1,163.0,1
247,2017-12-20,1,216.0,2
248,2017-12-21,1,104.0,3
249,2017-12-22,1,84.0,4
250,2017-12-23,1,144.0,5
251,2017-12-24,1,98.0,6
252,2017-12-25,1,120.0,0
253,2017-12-26,1,178.0,1
254,2017-12-27,1,160.0,2
255,2017-12-28,1,156.0,3
256,2017-12-29,1,210.0,4
257,2017-12-30,1,174.0,5
258,2017-12-31,1,925.0,6
259,2018-01-01,1,81.0,0
260,2018-01-02,1,0.0,1
261,2018-01-03,1,0.0,2
262,2018-01-04,1,0.0,3
263,2018-01-05,1,130.0,4
264,2018-01-06,1,89.0,5
265,2018-01-08,1,0.0,0
266,2018-01-09,1,125.0,1
267,2018-01-10,1,133.0,2
268,2018-01-11,1,117.0,3
269,2018-01-12,1,148.0,4
270,2018-01-13,1,123.0,5
271,2018-01-14,1,113.0,6
272,2018-01-15,1,176.0,0
273,2018-01-16,1,161.0,1
274,2018-01-17,1,176.0,2
275,2018-01-18,1,131.0,3
276,2018-01-19,1,195.0,4
277,2018-01-20,1,178.0,5
278,2018-01-21,1,148.0,6
279,2018-01-22,1,143.0,0
280,2018-01-23,1,188.0,1
281,2018-01-24,1,151.0,2
282,2018-01-25,1,128.0,3
283,2018-01-26,1,67.0,4
284,2018-01-27,1,129.0,5
285,2018-01-28,1,105.0,6
286,2018-01-29,1,163.0,0
287,2018-01-30,1,162.0,1
288,2018-01-31,1,667.0,2
289,2018-02-01,1,65.0,3
290,2018-02-02,1,0.0,4
291,2018-02-03,1,0.0,5
292,2018-02-05,1,167.0,0
293,2018-02-06,1,185.0,1
294,2018-02-07,1,176.0,2
295,2018-02-08,1,127.0,3
296,2018-02-09,1,176.0,4
297,2018-02-10,1,153.0,5
298,2018-02-11,1,106.0,6
299,2018-02-12,1,179.0,0
300,2018-02-13,1,195.0,1
301,2018-02-14,1,227.0,2
302,2018-02-15,1,144.0,3
303,2018-02-16,1,194.0,4
304,2018-02-17,1,145.0,5
305,2018-02-18,1,123.0,6
306,2018-02-19,1,149.0,0
307,2018-02-20,1,156.0,1
308,2018-02-21,1,184.0,2
309,2018-02-22,1,157.0,3
310,2018-02-23,1,194.0,4
311,2018-02-24,1,164.0,5
312,2018-02-25,1,125.0,6
313,2018-02-26,1,211.0,0
314,2018-02-27,1,176.0,1
315,2018-02-28,1,715.0,2
316,2018-03-01,1,2.0,3
317,2018-03-03,1,0.0,5
318,2018-03-05,1,241.0,0
319,2018-03-06,1,180.0,1
320,2018-03-07,1,178.0,2
321,2018-03-08,1,169.0,3
322,2018-03-09,1,201.0,4
323,2018-03-10,1,172.0,5
324,2018-03-11,1,136.0,6
325,2018-03-12,1,243.0,0
326,2018-03-13,1,217.0,1
327,2018-03-14,1,221.0,2
328,2018-03-15,1,158.0,3
329,2018-03-16,1,225.0,4
330,2018-03-17,1,173.0,5
331,2018-03-18,1,166.0,6
332,2018-03-19,1,244.0,0
333,2018-03-20,1,220.0,1
334,2018-03-21,1,197.0,2
335,2018-03-22,1,196.0,3
336,2018-03-23,1,214.0,4
337,2018-03-24,1,200.0,5
338,2018-03-25,1,183.0,6
339,2018-03-26,1,249.0,0
340,2018-03-27,1,209.0,1
341,2018-03-28,1,255.0,2
342,2018-03-29,1,187.0,3
343,2018-03-30,1,233.0,4
344,2018-03-31,1,1657.0,5
345,2018-04-01,1,0.0,6
346,2018-04-02,1,0.0,0
347,2018-04-03,1,0.0,1
348,2018-04-04,1,0.0,2
349,2018-04-05,1,0.0,3
350,2018-04-06,1,0.0,4
351,2018-04-07,1,0.0,5
352,2018-04-08,1,4.0,6
353,2018-04-09,1,405.0,0
354,2018-04-10,1,3.0,1
355,2018-04-11,1,256.0,2
356,2018-04-12,1,198.0,3
357,2018-04-13,1,232.0,4
358,2018-04-14,1,241.0,5
359,2018-04-15,1,348.0,6
360,2018-04-16,1,278.0,0
361,2018-04-17,1,231.0,1
362,2018-04-18,1,224.0,2
363,2018-04-19,1,195.0,3
364,2018-04-20,1,207.0,4
365,2018-04-21,1,167.0,5
366,2018-04-22,1,147.0,6
367,2018-04-23,1,228.0,0
368,2018-04-24,1,209.0,1
369,2018-04-25,1,220.0,2
370,2018-04-26,1,188.0,3
371,2018-04-27,1,199.0,4
372,2018-04-28,1,183.0,5
373,2018-04-29,1,164.0,6
374,2018-04-30,1,305.0,0
375,2018-05-01,1,1.0,1
376,2018-05-02,1,208.0,2
377,2018-05-03,1,184.0,3
378,2018-05-04,1,197.0,4
379,2018-05-05,1,182.0,5
380,2018-05-06,1,154.0,6
381,2018-05-07,1,255.0,0
382,2018-05-08,1,201.0,1
383,2018-05-09,1,227.0,2
384,2018-05-10,1,162.0,3
385,2018-05-11,1,170.0,4
386,2018-05-12,1,183.0,5
387,2018-05-13,1,114.0,6
388,2018-05-14,1,122.0,0
389,2018-05-15,1,218.0,1
390,2018-05-16,1,207.0,2
391,2018-05-17,1,154.0,3
392,2018-05-18,1,180.0,4
393,2018-05-19,1,177.0,5
394,2018-05-20,1,169.0,6
395,2018-05-21,1,256.0,0
396,2018-05-22,1,174.0,1
397,2018-05-23,1,191.0,2
398,2018-05-24,1,194.0,3
399,2018-05-25,1,201.0,4
400,2018-05-26,1,162.0,5
401,2018-05-27,1,182.0,6
402,2018-05-28,1,234.0,0
403,2018-05-29,1,191.0,1
404,2018-05-30,1,236.0,2
405,2018-05-31,1,341.0,3
406,2018-06-01,1,20.0,4
407,2018-06-02,1,215.0,5
408,2018-06-03,1,180.0,6
409,2018-06-04,1,308.0,0
410,2018-06-05,1,322.0,1
411,2018-06-06,1,289.0,2
412,2018-06-07,1,245.0,3
413,2018-06-08,1,268.0,4
414,2018-06-09,1,260.0,5
415,2018-06-10,1,315.0,6
416,2018-06-11,1,322.0,0
417,2018-06-12,1,314.0,1
418,2018-06-13,1,515.0,2
419,2018-06-14,1,523.0,3
420,2018-06-15,1,643.0,4
421,2018-06-16,1,198.0,5
422,2018-06-17,1,198.0,6
423,2018-06-18,1,341.0,0
424,2018-06-19,1,207.0,1
425,2018-06-20,1,279.0,2
426,2018-06-21,1,218.0,3
427,2018-06-22,1,284.0,4
428,2018-06-23,1,202.0,5
429,2018-06-24,1,141.0,6
430,2018-06-25,1,190.0,0
431,2018-06-26,1,134.0,1
432,2018-06-27,1,199.0,2
433,2018-06-28,1,191.0,3
434,2018-06-29,1,166.0,4
435,2018-06-30,1,321.0,5
436,2018-07-01,1,3.0,6
437,2018-07-02,1,142.0,0
438,2018-07-03,1,154.0,1
439,2018-07-04,1,134.0,2
440,2018-07-05,1,98.0,3
441,2018-07-06,1,84.0,4
442,2018-07-07,1,80.0,5
443,2018-07-08,1,59.0,6
444,2018-07-09,1,114.0,0
445,2018-07-10,1,122.0,1
446,2018-07-11,1,121.0,2
447,2018-07-12,1,80.0,3
448,2018-07-13,1,96.0,4
449,2018-07-14,1,95.0,5
450,2018-07-15,1,60.0,6
451,2018-07-16,1,102.0,0
452,2018-07-17,1,95.0,1
453,2018-07-18,1,92.0,2
454,2018-07-19,1,69.0,3
455,2018-07-20,1,89.0,4
456,2018-07-21,1,60.0,5
457,2018-07-22,1,44.0,6
458,2018-07-23,1,83.0,0
459,2018-07-24,1,96.0,1
460,2018-07-25,1,82.0,2
461,2018-07-26,1,34.0,3
462,2018-07-27,1,92.0,4
463,2018-07-28,1,54.0,5
464,2018-07-29,1,59.0,6
465,2018-07-30,1,109.0,0
466,2018-07-31,1,102.0,1
467,2018-08-01,1,51.0,2
468,2018-08-02,1,0.0,3
469,2018-08-03,1,64.0,4
470,2018-08-04,1,61.0,5
471,2018-08-05,1,44.0,6
472,2018-08-06,1,90.0,0
473,2018-08-07,1,64.0,1
474,2018-08-08,1,48.0,2
475,2018-08-09,1,51.0,3
476,2018-08-10,1,58.0,4
477,2018-08-11,1,69.0,5
478,2018-08-12,1,45.0,6
479,2018-08-13,1,88.0,0
480,2018-08-14,1,62.0,1
481,2018-08-15,1,26.0,2
482,2018-08-16,1,61.0,3
483,2018-08-17,1,72.0,4
484,2018-08-18,1,55.0,5
485,2018-08-19,1,33.0,6
486,2018-08-20,1,78.0,0
487,2018-08-21,1,92.0,1
488,2018-08-22,1,51.0,2
489,2018-08-23,1,51.0,3
490,2018-08-24,1,70.0,4
491,2018-08-25,1,60.0,5
492,2018-08-26,1,37.0,6
493,2018-08-27,1,82.0,0
494,2018-08-28,1,55.0,1
495,2018-08-29,1,57.0,2
496,2018-08-30,1,66.0,3
497,2018-08-31,1,93.0,4
498,2018-09-01,1,27.0,5
499,2018-09-02,1,0.0,6
500,2018-09-03,1,53.0,0
501,2018-09-04,1,60.0,1
502,2018-09-05,1,65.0,2
503,2018-09-06,1,57.0,3
504,2018-09-07,1,45.0,4
505,2018-09-08,1,55.0,5
506,2018-09-09,1,40.0,6
507,2018-09-10,1,69.0,0
508,2018-09-11,1,167.0,1
509,2018-09-12,1,264.0,2
510,2018-09-13,1,200.0,3
511,2018-09-14,1,177.0,4
512,2018-09-15,1,173.0,5
513,2018-09-16,1,211.0,6
514,2018-09-17,1,100.0,0
515,2018-09-18,1,184.0,1
516,2018-09-19,1,185.0,2
517,2018-09-20,1,115.0,3
518,2018-09-21,1,122.0,4
519,2018-09-22,1,113.0,5
520,2018-09-23,1,114.0,6
521,2018-09-24,1,135.0,0
522,2018-09-25,1,126.0,1
523,2018-09-26,1,114.0,2
524,2018-09-27,1,120.0,3
525,2018-09-28,1,184.0,4
526,2018-09-29,1,200.0,5
527,2018-09-30,1,409.0,6
528,2018-10-01,1,206.0,0
529,2018-10-02,1,1.0,1
530,2018-10-03,1,205.0,2
531,2018-10-04,1,175.0,3
532,2018-10-05,1,228.0,4
533,2018-10-06,1,163.0,5
534,2018-10-07,1,263.0,6
535,2018-10-08,1,272.0,0
536,2018-10-09,1,231.0,1
537,2018-10-10,1,262.0,2
